datetime_utc,Receiver,Transmitter,Station Name,Latitude,Longitude,Data source
2017-09-19 03:16:00,VR2W-130934,A69-9001-18224,BP_IN_M2,27.30455,-82.56139,SCAN
2017-09-24 05:01:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-09-24 05:06:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-09-24 05:09:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-09-24 05:11:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-09-24 05:14:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-09-24 05:16:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-09-24 05:18:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-09-24 05:33:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-09-25 00:33:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-09-25 03:29:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-09-25 03:32:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-09-25 03:34:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-09-25 03:35:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-09-25 03:37:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-09-26 01:17:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-09-26 01:36:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-09-26 01:39:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-09-26 01:42:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-09-26 01:47:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-09-26 01:49:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-09-26 01:52:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-09-26 01:53:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-09-26 01:55:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-09-26 02:20:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-09-26 02:26:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-09-26 03:00:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-09-26 03:09:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
